27-Sep-06 12:03 INFO 	 (GeneralActionServlet.java:60) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:03 INFO 	 (GeneralActionServlet.java:61) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:03 INFO 	 (LoginB4Action.java:29) 	 Entering LoginB4Action***
27-Sep-06 12:03 INFO 	 (LoginB4Action.java:36) 	 Exiting LoginB4Action***
27-Sep-06 12:03 INFO 	 (GeneralActionServlet.java:63) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:03 INFO 	 (GeneralActionServlet.java:64) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:04 INFO 	 (GeneralActionServlet.java:60) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:04 INFO 	 (GeneralActionServlet.java:61) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:04 INFO 	 (GeneralActionServlet.java:63) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:04 INFO 	 (GeneralActionServlet.java:64) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:21 INFO 	 (GeneralActionServlet.java:60) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:21 INFO 	 (GeneralActionServlet.java:61) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:21 INFO 	 (LoginB4Action.java:29) 	 Entering LoginB4Action***
27-Sep-06 12:21 INFO 	 (LoginB4Action.java:36) 	 Exiting LoginB4Action***
27-Sep-06 12:21 INFO 	 (GeneralActionServlet.java:63) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:21 INFO 	 (GeneralActionServlet.java:64) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:21 INFO 	 (GeneralActionServlet.java:60) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:21 INFO 	 (GeneralActionServlet.java:61) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:21 INFO 	 (GeneralActionServlet.java:63) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:21 INFO 	 (GeneralActionServlet.java:64) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:21 DEBUG 	 (GeneralActionServlet.java:56) 	 Serving : logout.jsp
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:26 INFO 	 (LoginB4Action.java:29) 	 Entering LoginB4Action***
27-Sep-06 12:26 INFO 	 (LoginB4Action.java:36) 	 Exiting LoginB4Action***
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:26 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:32 INFO 	 (LoginB4Action.java:29) 	 Entering LoginB4Action***
27-Sep-06 12:32 INFO 	 (LoginB4Action.java:36) 	 Exiting LoginB4Action***
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:32 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:34 INFO 	 (LoginB4Action.java:29) 	 Entering LoginB4Action***
27-Sep-06 12:34 INFO 	 (LoginB4Action.java:36) 	 Exiting LoginB4Action***
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:34 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:37 INFO 	 (LoginB4Action.java:29) 	 Entering LoginB4Action***
27-Sep-06 12:37 INFO 	 (LoginB4Action.java:36) 	 Exiting LoginB4Action***
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:37 INFO 	 (LogoutAction.java:51) 	 Entering LogoutAction now...
27-Sep-06 12:37 DEBUG 	 (LogoutAction.java:56) 	 httpSession id to be invalidated is: c0a80007231ce6f3963ab15248709a8e993b54390f09
27-Sep-06 12:37 DEBUG 	 (LogoutAction.java:58) 	 httpSession id  removed from Context c0a80007231ce6f3963ab15248709a8e993b54390f09
27-Sep-06 12:37 INFO 	 (SessionListener.java:53) 	 Session invalidation called.
27-Sep-06 12:37 INFO 	 (SessionListener.java:54) 	 Starting Http Session cleanup.
27-Sep-06 12:37 INFO 	 (LogoutAction.java:65) 	 Exiting LogoutAction now...
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:38 INFO 	 (LoginB4Action.java:29) 	 Entering LoginB4Action***
27-Sep-06 12:38 INFO 	 (LoginB4Action.java:36) 	 Exiting LoginB4Action***
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:39 INFO 	 (LogoutAction.java:51) 	 Entering LogoutAction now...
27-Sep-06 12:39 DEBUG 	 (LogoutAction.java:56) 	 httpSession id to be invalidated is: c0a80007231cdbabd8cb46ca48afb3179b770607689e
27-Sep-06 12:39 DEBUG 	 (LogoutAction.java:58) 	 httpSession id  removed from Context c0a80007231cdbabd8cb46ca48afb3179b770607689e
27-Sep-06 12:39 INFO 	 (SessionListener.java:53) 	 Session invalidation called.
27-Sep-06 12:39 INFO 	 (SessionListener.java:54) 	 Starting Http Session cleanup.
27-Sep-06 12:39 INFO 	 (LogoutAction.java:65) 	 Exiting LogoutAction now...
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:39 INFO 	 (LogoutAction.java:51) 	 Entering LogoutAction now...
27-Sep-06 12:39 DEBUG 	 (LogoutAction.java:56) 	 httpSession id to be invalidated is: c0a80007231cc9841a6125e2491ab6d2d15b246c63e2
27-Sep-06 12:39 DEBUG 	 (LogoutAction.java:58) 	 httpSession id  removed from Context c0a80007231cc9841a6125e2491ab6d2d15b246c63e2
27-Sep-06 12:39 INFO 	 (SessionListener.java:53) 	 Session invalidation called.
27-Sep-06 12:39 INFO 	 (SessionListener.java:54) 	 Starting Http Session cleanup.
27-Sep-06 12:39 INFO 	 (LogoutAction.java:65) 	 Exiting LogoutAction now...
27-Sep-06 12:39 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/logoutAction.do
